cluster_id,product_code,description,cluster_size
cluster_71,72010,16/20 P&D iqf - 10# t/off,25
cluster_71,72990,26/30 P&D T/Off 5/2#,25
cluster_71,78016,100/200 PLD Cooked T/Off 5/2#,25
cluster_71,72671,61/70 P&D T/Off 10/2# ** ( 20#/case ) **,25
cluster_71,72670,61/70 P&D T/Off  5/2#,25
cluster_71,78006,31/40 PLD Cooked T/On 5/2#,25
cluster_71,72360,31/35 P&D T/Off  6/4#  (24#/CASE),25
cluster_531,420110,10OZ LAMB T-BONE CHOP,3
cluster_531,420080,8OZ LAMB T-BONE CHOP,3
cluster_531,420070,7OZ LAMB T-BONE CHOP,3
cluster_523,620054,10OZ SMOKED PORK CHOP,4
cluster_523,620064,4OZ SMOKED PORK CHOP,4
cluster_523,620065,5OZ SMOKED PORK CHOP,4
cluster_523,620067,6OZ SMOKED PORK CHOP,4
cluster_25,121,vac bags 18x28 3m 250 cs,3
cluster_25,115,12/14 vac bags 3m,3
cluster_25,110,vack bags 16x20 3m,3
cluster_130,70890,26/30 Shell-On 6/4#,9
cluster_130,70130,21/25 Shell On- (10/4#),9
cluster_130,71051,26/30 Shell on P&D 6/4#,9
cluster_130,71900,26/30 SHELL ON  10/4#,9
cluster_130,70060,31/35 Shell On 10/4# Case,9
cluster_130,70380,36/40 SHELL ON    10/4#,9
cluster_130,70340,50# 36/40  Shell On  10/5#,9
cluster_130,72850,16/20 Shell On 6/4#  (24#/case),9
cluster_130,72390,41/50 Shell On  10/4#,9
cluster_328,72013,16/20 Shell On Red Shrimp 10/2#,10
cluster_328,21258,SHRIMP SHELL ON 16-20 10/5#-z,10
cluster_328,21211,SHRIMP SHELL ON 16-20 10/5#-z TEX,10
cluster_328,21215,SHRIMP SHELL ON 16-20 6/4#-z,10
cluster_328,212314,SHRIMP SHELL ON 41-50-z 10/5#,10
cluster_328,2123141,SHRIMP SHELL ON 41-50-z 10/4#,10
cluster_328,21234,SHRIMP SHELL ON 36-40 10/4#-z,10
cluster_328,212325,SHRIMP SHELL ON 41-50-z 6/4#,10
cluster_328,531620,16-20 SHELL ON HEADLESS SHRIMP,10
cluster_328,212311,SHRIMP SHELL ON 36-40 6/4#-z,10
cluster_322,72993,31/40  EASY PEEL Shrimp 10/2#,3
cluster_322,72989,16/20  EASY PEEL Shrimp 10/2#,3
cluster_322,72994,41/50  EASY PEEL Shrimp 10/2#,3
cluster_129,61022,Scallop 30/40 [block] 20# CASE 4x5,23
cluster_129,70870,Scallop 10/20  U.S.A. 10/5#,23
cluster_129,61040,SCALLOP PIECES - (IQF),23
cluster_129,78369899,"Scallops, 30/40CT, 6/5#, (30#)",23
cluster_129,70880,Scallop 10/20 Japan Block 10/5#,23
cluster_129,70830,7087        SCALLOP 10/20  (JAPAN),23
cluster_129,71801,Scallop 20/30 - (Japan)  IQF  6/5#,23
cluster_129,61052,Scallop 40/60 - IQF 2/5# CASE 10#,23
cluster_129,70882,Scallop 10/20 - (Japan)  IQF  2/5#,23
cluster_129,78364759,"Scallops 60/80ct, Hook & Barrel (10/3#)",23
cluster_129,78754369,"Scallops U/10ct, Panamei (24/1#)",23
cluster_129,61030,Scallop 30/40 - IQF !!! 30# <CASE>,23
cluster_129,70872,20# Scallop 10/20 - block 20# Case,23
cluster_129,61050,Scallop 40/60 - I Q F  (case) 6/5#,23
cluster_129,210490,SCALLOPS 60-80CT-z 30#,23
cluster_129,70871,20#  Scallop 10/20  U.S.A. 4/5#,23
cluster_129,61010,Scallop 20/30 - IQF Japan 6/5# CASE,23
cluster_129,78365259,"Scallops, 30/40CT, 6/5#, Centurion (30#)",23
cluster_129,61020,Scallop 30/40 - Block (CASE) 50#,23
cluster_129,61071,Scallop 80/100 (Each),23
cluster_129,70860,Scallop 10/20 - IQF  6/5#,23
cluster_129,61032,CASE Scallop 30/40 2/5# iqf 10#,23
cluster_129,78362999,"Scallops 60/80 CT, 10#",23
cluster_141,900003,20/6OZ CORDON BLEU,3
cluster_141,900206,SIGNATURE CORDON BLEU-20/6OZ,3
cluster_141,900246,SIGNATURE CORDON BLEU-24/6OZ,3
cluster_407,538815,COCONUT BREADED SHRIMP-16/20CT-4/3#,5
cluster_407,74019989,"Shrimp, Breaded 16/20 (4/3#)",5
cluster_407,74039980,"Shrimp, Breaded Butterfly 16/20 (4/3#)",5
cluster_407,80172000,Seafood Shrimp 16/20 BREADED,5
cluster_407,72450,21/25 Breaded Butterfly Shrimp,5
cluster_22,994721,CANLINER 38x58 BLK-PH60SH 100CT,8
cluster_22,99462,CANLINER 33 GAL BLK HD 100CT,8
cluster_22,25011,CAN LINER LD 12-16 GAL. 24x33,8
cluster_22,84192,CAN LINER  46 GL 23X17X46 BLACK,8
cluster_22,999205,CANLINER 40-45 GAL BLK HD 100CT,8
cluster_22,99472,CANLINER 36x60 CLR-3660HC 250CT,8
cluster_22,99490B,CANLINER 55-60 GAL BLK HD 100CT,8
cluster_22,84193,CAN LINER 30x37 8 MIC 500pc,8
cluster_6,13611610,Use 13610610,18
cluster_6,13611606,Use 13610606,18
cluster_6,10001066,USE 10001056,18
cluster_6,12354,X Use 12110420,18
cluster_6,14700410,Use 14000400,18
cluster_6,17100513,USE 17100512,18
cluster_6,24565468,use 24965869,18
cluster_6,5054,USE 50020,18
cluster_6,18273280,Use 19009000,18
cluster_6,18102531,X Use 18100531,18
cluster_6,13545406,Use 13101505,18
cluster_6,13540408,Use 13101408,18
cluster_6,37880501,USE 37880500,18
cluster_6,18111041,Use 18100041,18
cluster_6,41704200,use code   41701260,18
cluster_6,15040000,Use 15000400,18
cluster_6,26405021,X USE 26422030,18
cluster_6,20305041,use  20021300,18
cluster_162,70024,Head On Shrimp 40/50 10/4#,4
cluster_162,70022,HEAD ON Shrimp  40/50,4
cluster_162,71131,HEAD ON Shrimp 30/40 10/4#,4
cluster_162,71133,HEAD ON Shrimp 50/60 10/4#,4
cluster_81,620160,5-1 H.M. PRE-COOK BRAT LINK 10,4
cluster_81,620160,5-1 H.M. PRE-COOK BRAT LINK 10,4
cluster_81,620060,4-1 H.M. PRE-COOK BRAT LINK 10,4
cluster_81,620861,5-1 MAC & CHEESE BRAT LINKS,4
cluster_483,SP920,VEAL CUTLET   4 oz,3
cluster_483,410041,4OZ VEAL CUTLET,3
cluster_483,410051,5OZ VEAL CUTLET,3
cluster_16,9992041,BOX Wax 20#LID,5
cluster_16,9991161,BOX Wax Lid 20.04 X 31.00 20#,5
cluster_16,999114R,BOX Wax BodPou 6x21 13/16x14 13/16,5
cluster_16,999118,BOX Wax-10 22 x 14 1/2 x10 DC 44C,5
cluster_16,999116,BOX Wax-9 7/8 x 21 7/8 x14 13/16,5
cluster_434,43400391,Turkey Breast B/Out Raw Netted,8
cluster_434,620158,5-8# BI TURKEY BREAST,8
cluster_434,311048,"TURKEY BREAST BI, 4-8#",8
cluster_434,41611480,Turkey Breast 4oz Fillet,8
cluster_434,41799900,Turkey Breast 4/8 B/In,8
cluster_434,41800700,Turkey Breast 20-/Up Raw B/In,8
cluster_434,41800300,Turkey Breast 12/14 Raw B/In,8
cluster_434,311122,"TURKEY BREAST BI, 12-14#",8
cluster_5,190082,65 COMBO,3
cluster_5,190085,85/15 COMBO,3
cluster_5,190081,80 COMBO,3
cluster_11,50080,Frog Leg  2-4  IQF  (6/5#),5
cluster_11,78255829,"Frog Legs, (Retail), (6/2#)",5
cluster_11,50082,Frog Leg  4-6  (6/5#),5
cluster_11,78111529,FROG LEGS 4/6CT 1/30# WINSEA,5
cluster_11,591068,6-8CT FROG LEGS,5
cluster_90,430156,6WAY GOAT CUT 1.5IN BONEIN,7
cluster_90,12001B,GOAT WHL-6WAY -CUT 1.5 IN,7
cluster_90,30520,Goat - 6 Way Cut  SKINLESS 40#Ave.,7
cluster_90,30521,Goat Skin-ON cut 6way *RYAN* IW,7
cluster_90,91065040,"Goat, 6-Way Skin/On 35 DN Ryan Meat",7
cluster_90,74770012,"Goat bone in Cut 1.5"" X 1.5""",7
cluster_90,430406,GOAT 6 WAY CUT 40#CS,7
cluster_123,90619,SODA JARRITOS LIMON 24/12.5 oz,36
cluster_123,90624,SODA JARRITOS STRWBRRY 24/12.5 oz,36
cluster_123,95130,Jarritos Jamaica 24/12.5 oz,36
cluster_123,90605,SODA JARRITOS MANGO 24/12.5 oz,36
cluster_123,90620,SODA JARRITOS TORONJA 24/12.5 oz,36
cluster_123,90605B,SODA SIDRAL MUNDET 24/12.5 oz,36
cluster_123,90621,SODA JARRITOS FRUIT PNCH 24/12.5 oz,36
cluster_123,90612,SODA JARRITOS MANDARINA 24/12.5 oz,36
cluster_123,95110,Jarritos Mineragua 24/12.5oz  GLASS,36
cluster_123,906231,SODA JARRITOS PINEAPPLE 24/16.9oz,36
cluster_123,95000,Jarritos Fruit Punch 24/12.5oz GLAS,36
cluster_123,95070,Jarritos Soda Grapefruit 24/12.5oz,36
cluster_123,95030,Jarritos Pineapple 24/12.5oz GLASS,36
cluster_123,95011,Jarritos Soda Mandarin 18oz plastic,36
cluster_123,95031,Jarritos Pineapple Soda18oz plastic,36
cluster_123,90605A,SODA SANGRIA SENORIAL 24/12.5 oz,36
cluster_123,95042,Jarritos Mango 1.5 Liter PLASTIC,36
cluster_123,95040,Jarritos Soda Mango 24/12.5oz,36
cluster_123,95060,Sangria Soda 24/12.5oz GLASS,36
cluster_123,95002,Jarritos Fruit Punch 1.5 LT PLASTIC,36
cluster_123,906191,SODA JARRITOS LIMON 24/16.9oz,36
cluster_123,90601,SODA COCA COLA MEX 24/12.5 oz,36
cluster_123,906051,SODA JARRITOS MANGO 24/16.9oz,36
cluster_123,95140,Jarritos Guava 24/12.5 oz,36
cluster_123,95080,Jarritos Strawberry 24/12.5oz GLASS,36
cluster_123,906111,SODA JARRITOS TAMARINDO 24/16.9 oz,36
cluster_123,95010,Jarritos Mandarin 24/12.5oz GLASS,36
cluster_123,95021,Jarritos Soda Tamarindo 18oz plastc,36
cluster_123,95020,Jarritos Tamarindo 24/12.5oz GLASS,36
cluster_123,90623,SODA JARRITOS PINEAPPLE 24/12.5 oz,36
cluster_123,906001,SODA COCA COLA MEX 24/16oz,36
cluster_123,90611,SODA JARRITOS TAMARINDO 24/12.5 oz,36
cluster_123,95091,Jarritos Soda Limon 18oz plastic,36
cluster_123,95090,Jarritos Soda Limon 24/12.5oz GLASS,36
cluster_123,95112,Jarritos Mineragua 1.5liter PLASTIC,36
cluster_123,90627,SODA TOPO CHICO MINERAGUA 12/12.5oz,36
cluster_3,900012,ALADDIN GARLIC/PESTO WRAP 12IN,5
cluster_3,900015,ALADDIN PLAIN  WRAP 12IN,5
cluster_3,900014,ALADDIN SPINACH WRAP 12IN,5
cluster_3,900013,ALADDIN SUNDRIED TOMATO WRAP 12IN,5
cluster_3,900016,ALADDIN WHOLE WHEAT WRAP 12IN,5
cluster_21,99517012,FOIL ROLL STD 12 X 1000CT,4
cluster_21,99517,FOIL ROLL STD 18 X 1000,4
cluster_21,84330,ALUMINUM FOIL ROLL 18 x500,4
cluster_21,995175,FOIL ROLL HD 24 X1000,4
cluster_12,86001,SALAD OIL,6
cluster_12,84621,PURE Japanese Toasted SESAME OIL4/1,6
cluster_12,93212,OIL CANOLA SALAD OIL 35#,6
cluster_12,84350,AOKI Sesame Oil BLEND  4x1gallon *AOKI*,6
cluster_12,84361,LEE KUM KEE PURE Sesame Oil  10x55.7,6
cluster_12,91405500,Oil -salad- soybean 35#,6
cluster_65,90466158,ATH SPINACH PUFF 1-OZ 3/48 144CT,3
cluster_65,90466159,ATH SPINACH PUFF 3-OZ 3/24,3
cluster_65,90466156,ATH SPINACH PUFF 8-OZ 3/10 30CT,3
cluster_29,50130590,AVOCADO-ALEJ GREEN 48 CT,8
cluster_29,50130581,AVOCADO RIPE 48 CT,8
cluster_29,50130619,AVOCADO-ALEJ RIPE 48 CT,8
cluster_29,50130611,AVOCADO-ALEJ RIPE 60 CT,8
cluster_29,31031,Avocado Haas 48ct (Green),8
cluster_29,50130570,AVOCADO RIPE 48 CT JIMMY BRAND,8
cluster_29,50130588,AVOCADO GREEN 60 CT,8
cluster_29,50130584,AVOCADO RIPE 60 CT,8
cluster_493,44521010,"Baby Backribs (1pc) VP, Pork IBP",5
cluster_493,44021010,"Baby Backribs (2pc) VP, Pork IBP",5
cluster_493,44341010,"Baby Backribs (3pc) VP, Pork IBP",5
cluster_493,44623570,"Baby Backribs 2/DN, Pork IBP",5
cluster_493,20130,Pork Rib Baby Back IBP,5
cluster_67,594369,PANAMEI OCTOPUS TENTACLES-COOKED,29
cluster_67,73159989,"Octopus, Whole 6-8#, (30#)",29
cluster_67,21054W,OCTOPUS WHL 2-4CT 30#-z INDO,29
cluster_67,73039988,"Octopus 2-4lb, Whl Cln Tray Pk Panamei",29
cluster_67,73014369,"Octopus, Ckd Cut/Pcs, Panamei (20/1#)",29
cluster_67,73064369,"Octopus, Bby 16-25pc/kg, Panamei (12/2#)",29
cluster_67,21054O99,OCTOPUS WHOLE 4-6 30#-z SMILING,29
cluster_67,73149989,"Octopus, Whole 4-6, (30#)",29
cluster_67,73039989,"Octopus, Whole 2-4lb, Maya (44.08#)",29
cluster_67,73049986,"Octopus, Whole 4-6#,  Indonesian",29
cluster_67,73054736,"Octopus, Whole 6/UP#, Indo Fiesta (30#)",29
cluster_67,73019980,"Octopus, Cooked, Peru (10#)",29
cluster_67,73034969,"Octopus, Whole 2-4 Ckd, El General (40#)",29
cluster_67,73151869,"Octopus, Whole 6-8#, Sea Port (30#)",29
cluster_67,78554369,"Octopus, Ckd Tentacles, Panamei (10/1#)",29
cluster_67,73031106,"Octopus, Whole 2-4# Crystal Blue, (30#)",29
cluster_67,71011,Octopus Large CKD 6.25#,29
cluster_67,21054P,OCTOPUS CKD 20#-z,29
cluster_67,62094,Octopus 2-4# iwp CAIS 22# Philippin,29
cluster_67,62090,Octopus 2-4# Philipine catch,29
cluster_67,73155419,"Octopus, Whole 6-8#, Central S. F. (30#)",29
cluster_67,73145229,"Octopus, Whole 4-6#, Polar Brand (30#)",29
cluster_67,73031869,"Octopus, Whole 2-4# Sea Port, Philippine",29
cluster_67,210540,OCTOPUS CKD 24#-z,29
cluster_67,78559989,"Octopus  Tentacles Ckd (Wild Caught), Pa",29
cluster_67,73141869,"Octopus, Whole 4-6#, Sea Port (30#)",29
cluster_67,2105410,OCTOPUS WHL 1-2CT 30#-z INDO,29
cluster_67,80663000,Octopus 2-4,29
cluster_67,62052,Baby Octopus 16-25 -OCEANIKA- 12/2#,29
cluster_126,17203574,"Backribs Beef, VP, IBP (Ch)",10
cluster_126,17201024,"Backribs Cntr Cut, Beef National (Ch)",10
cluster_126,17209980,"Backribs, Beef",10
cluster_126,17201376,"Backribs, Beef EVP (NR)",10
cluster_126,17204496,"Backribs, Beef Harmony",10
cluster_126,17204495,"Backribs, Beef Harmony (AA)",10
cluster_126,17204494,"Backribs, Beef Harmony (AAA)",10
cluster_126,17201030,"Backribs, Beef JBS",10
cluster_126,17201120,"Backribs, Beef Mex Praderas",10
cluster_126,17201130,"Backribs, Beef Mex Sukarne",10
cluster_238,37410400,Bacon 18/22 Single Peer Hotel,4
cluster_238,37410450,Bacon 22/26 Hotel 12lb/cs Peer,4
cluster_238,37410850,Bacon 14/18 Single Peer Hotel-,4
cluster_238,37411000,Bacon 22/26 Hotel 15 b/cs Peer 11000,4
cluster_234,20391,Bacon 14-18ct Indiana Platter 30#,5
cluster_234,20390,Bacon 14-18ct Indiana Platter 30# FZN,5
cluster_234,82371060,"Bacon Slicd Platter, 14-18ct Indiana 15#",5
cluster_234,82321060,"Bacon Slicd Platter, 14-18ct Indiana 30#",5
cluster_234,37880105,"Bacon,14/18 Indiana Platter",5
cluster_237,37880523,Bacon Applewood Smoked 10/14 Layout,5
cluster_237,37880519,Bacon Applewood Smoked 14/18 Layout,5
cluster_237,37880518,Bacon Applewood Smoked 18/22 Layout,5
cluster_237,37880500,Bacon Hardwood Smoked 10/14 Layout,5
cluster_237,37880502,Bacon Hardwood Smoked 14/18 Layout,5
cluster_236,37880513,Bacon Applewood Smoked 10/14 Platter,5
cluster_236,37880514,Bacon Applewood Smoked 14/18 Platter,5
cluster_236,37880508,Bacon Hardwood Smoked 18/22 Platter,5
cluster_236,37880108,Bacon Platter Hardwood Smoked 18/22,5
cluster_236,37880110,"Bacon, Hardwood Smoked Platter 10/14",5
cluster_235,41548600,Turkey Bacon L/R 16/12 oz Pk,7
cluster_235,94741,Bacon Breakfast Turkey 12oz Deen Halal,7
cluster_235,610128,KOSHER TURKEY BACON-12/8OZ,7
cluster_235,291375,HORMEL CINNADUST BACON 16/12 OZ - 12 LB,7
cluster_235,96705620,"Turkey Bacon ,12/12z Butterball (9#)",7
cluster_235,SP425,TURKEY BACON  12#,7
cluster_235,291376,HORMEL CINNADUST BACON-16/12OZ PACKS,7
cluster_233,290263,"BACON BULK, WRIGHT, 14-18CT",11
cluster_233,290264,"BACON BULK, WRIGHT, 18-22CT, 15#",11
cluster_233,SP2002,BACON LAYOUT 18/22   15#,11
cluster_233,235223,"BACON LAYOUT, DAILY`S 18-22, 15#",11
cluster_233,290234,"BACON LAYOUT, P. LABEL, 14-18CT",11
cluster_233,290235,"BACON LAYOUT, PATUXENT, 14-18CT",11
cluster_233,290244,"BACON LAYOUT, PRITZLAFF, 14-18 (15#)",11
cluster_233,290245,"BACON LAYOUT, PRITZLAFF, 18-22 (15#)",11
cluster_233,292091,"BACON LAYOUT, WRIGHT, 14-18CT",11
cluster_233,290262,"BACON LAYOUT, WRIGHT, 18-22, 15#",11
cluster_233,290250,"BACON, SMITHFIELD, 14-18CT, 15#",11
cluster_93,82352950,"Bratwurst, japaleno cheddar (4:1)",6
cluster_93,20484,"Cheddar Bratwurst Link 7"" RPC077",6
cluster_93,100000005,Jalapeno Cheddar Brat FS 00814,6
cluster_93,20485,"Cheddar&Jalapeno Brat 7"" RPC476",6
cluster_93,100000002,Jalapeno Cheddar Brat Retail 00803,6
cluster_93,20487,"Bacon Cheddar Bratwurst 7"" RPC496",6
cluster_244,13321117,BACON COM SL-LF AW10-12 15#-z,7
cluster_244,1382162,BACON COM SL-R AW05-06-z 12/1#,7
cluster_244,1382162,BACON COM SL-R AW05-06-z 12/1#,7
cluster_244,13832163,BACON COM SL-R AW10-12 32163 12/1#,7
cluster_244,13832163,BACON COM SL-R AW10-12 32163 12/1#,7
cluster_244,13832010,BACON COM SL-R AW14-18 32161 12/1#,7
cluster_244,13832010,BACON COM SL-R AW14-18 32161 12/1#,7
cluster_246,13888S,BACON IND SL10-14 80110 PL 15#-z,14
cluster_246,13888S,BACON IND SL10-14 80110 PL 15#-z,14
cluster_246,13818123,BACON IND SL10-14 80129 LF 15#,14
cluster_246,13818123,BACON IND SL10-14 80129 LF 15#,14
cluster_246,1380283,BACON IND SL14-18 80100 PL 30#,14
cluster_246,1380283,BACON IND SL14-18 80100 PL 30#,14
cluster_246,1380289,BACON IND SL14-18 80105 PL 15#,14
cluster_246,13818121,BACON IND SL14-18 80126 LF 15#,14
cluster_246,13803887,BACON IND SL18-22 80103 LF 15#,14
cluster_246,1380282,BACON IND SL18-22 80108 PL 15#,14
cluster_246,1380282,BACON IND SL18-22 80108 PL 15#,14
cluster_246,13888047,BACON IND-AW SL10-14 80523 LF 15#,14
cluster_246,13888049,BACON IND-AW SL14-18 80514 PL 15#,14
cluster_246,1380286,BACON IND-PREM SL14-18 80507 PL 15#,14
cluster_245,138026,BACON PEER SL14-18 10400 PL 12#,7
cluster_245,13818,BACON PEER SL14-18 10900 LF 15#,7
cluster_245,13810800,BACON PEER SL-LF05-07 10800 15#,7
cluster_245,138067,BACON PEER SL18-22 10450 PL 12#,7
cluster_245,13830,BACON PEER SL10-14 3398 PL 9/2.5#VP,7
cluster_245,13836,BACON PEER SL10-14 3398-z PL 9/2.5,7
cluster_245,13842,BACON PEER SL18-22 10950 LF 15#,7
cluster_68,96715880,"Bacon Slcd Smk ApeWd, Kentucky L (12/1#",5
cluster_68,96745880,"Skd Slcd Bacon 14c,Kentucky L (16/12z)",5
cluster_68,96755880,"Skd Slcd Bacon 14c,Kentucky L (8/2.5#)",5
cluster_68,96725880,"Skd Slcd Bacon 14ct , Kentucky L (12/1#)",5
cluster_68,96735880,"Skd Slcd Bacon AppWD,Kentucky L (16/12z",5
cluster_243,13435D,BACON-z$ DAILY SL14-16 37435 LF 15#,4
cluster_243,13760D,BACON-z$ DAILY SL3/16 37760 PL 15#,4
cluster_243,13915D,BACON-z$ DAILY SL14-16 37215 PL 15#,4
cluster_243,13722D,BACON-z$ DAILY SL09-11 37722 LF 15#,4
cluster_247,13888D,BACON-z$ DBUF SL10-14 33170 PL 15#,6
cluster_247,13890D,BACON-z$ DBUF SL10-14 33740 LF 15#,6
cluster_247,13887D,BACON-z$ DBUF SL14-18 33180 PL 15#,6
cluster_247,13891D,BACON-z$ DBUF SL14-18A 33750 LF 15#,6
cluster_247,13886D,BACON-z$ DBUF SL18-22 33190 PL 15#,6
cluster_247,13892D,BACON-z$ DBUF SL18-22A 33760 LF 15#,6
cluster_241,13840600,BACON-z$-CKD DAILY THK300 4.3$,4
cluster_241,13847104,BACON-z$-CKD DAILY D3/8 47104 10#,4
cluster_241,13847106,BACON-z$-CKD DAILY D3/4 47106 10#,4
cluster_241,13840400,BACON-z$-CKD DAILY SLAB300,4
cluster_23,99492,BAG PLAIN #06 BROWN 500CT,8
cluster_23,99416,BAG #06 WHITE - 500CT,8
cluster_23,99493,BAG #04 BROWN 500CT,8
cluster_23,994961,BAG #01 BROWN 500CT,8
cluster_23,99415,BAG #04 WHITE 500CT,8
cluster_23,99413212,BAG #12 BROWN 500CT,8
cluster_23,99414,BAG #10 WHITE 500 CT,8
cluster_23,99417,BAG #16 WHITE 500CT,8
cluster_24,88418,bag poly 8x4x18 clear 1000ct,5
cluster_24,994015,BAG POLY CLR 8x4x18 1000CT 1218HC13,5
cluster_24,994861,BAG POLY CLR 10X8X24 500CT,5
cluster_24,99486,BAG POLY CLR 10x14 1000,5
cluster_24,9948611,BAG POLY CLR 6.5X8 ROLL 2000CT,5
cluster_34,24090,Baily Dry Noodle -Small 20#/cs 20#,7
cluster_34,25450,Wet Noodle  20lb #14 *Golden Bowl*,7
cluster_34,25320,Canton Noodle - Baily  40# (Medium),7
cluster_34,25331,Canton Noodle BAILY  (SMALL) RED,7
cluster_34,25330,Canton Noodle-Baily  40# (SMALL),7
cluster_34,25430,Golden Bowl  Noodle SMALL#16 RED,7
cluster_34,25321,Canton Noodle BAILY (MEDIUM) Black,7
cluster_364,15191144,"Ball-Tip Bnls, Western Reserve (Ch)",9
cluster_364,15191014,"Ball-Tip Bnls, IBP (Ch)",9
cluster_364,15193354,"Ball-Tip Bnls, Swift (CH)",9
cluster_364,15191142,"Ball-Tip Bnls, Western Reserve (CAngus)",9
cluster_364,15191024,"Ball-Tip Bnls, National (CH)",9
cluster_364,15195004,"Ball-Tip Bnls, Black Canyon (CH)",9
cluster_364,15191004,"Ball-Tip Bnls, GreaterOmaha (Ch)",9
cluster_364,15191146,"Ball-Tip Bnls, Western Reserve (N/R)",9
cluster_364,15191141,"Ball-Tip Bnls, Western Reserve (Prime)",9
cluster_30,31240,Celery 24ct,15
cluster_30,50131912,TURNIP GREEN 24CT,15
cluster_30,501319,KALE 24CT,15
cluster_30,31860,Lettuce Romaine 24ct.,15
cluster_30,50133103,CELERY 12CT,15
