product_code,cluster,cluster_id,probability,product_description
64700300,510,cluster_510,1.0,veal bones domestic 50lb/cs
22131123,540,cluster_540,1.0,hot dog v skl 10-1 6-in 013302 10#
22126,540,cluster_540,1.0,hot dog v skl 4-1 6-in 013040 10#
22130,540,cluster_540,1.0,hot dog v skl 6-1 6-in 013062 10#
22129017,540,cluster_540,0.9945736235483373,hot dog v skl 7-1 6-in 013170 10#
97465740,570,cluster_570,1.0,"bologna turkey, bar s (12/1 lb)"
97467740,570,cluster_570,1.0,"bologna thick, bar s (12/16 oz)"
97470740,570,cluster_570,1.0,"bologna beef, bar s (12/1lb))"
97025740,570,cluster_570,0.9830760135181605,"bologna garlic, bar s (16/12oz)"
97035740,570,cluster_570,1.0,"bologna classic, bar s (16/12oz)"
13500,600,cluster_600,1.0,ham smk peer pit 31610 2/12#
13501001,600,cluster_600,1.0,ham smk peer pit mini-32655 6/7#mar
13500,600,cluster_600,1.0,ham smk peer pit 31610 2/12#
98765830,630,cluster_630,1.0,"beef hot smkd sausage l,motor c (2 lbs)"
97775830,630,cluster_630,1.0,"beef mild smkd sausage l,motor c (2 lbs)"
97795830,630,cluster_630,0.8765660963720315,"mild smkd sausage links,motor c (2 lbs)"
97745830,630,cluster_630,1.0,"hot smkd beef sausage l,motor c (16/16oz"
97755830,630,cluster_630,0.9085788286317332,"mild beef sausage link,motor c (16/16oz"
621213,660,cluster_660,0.8926760613614808,eckrich smoked rope sausage-12/13oz
620089,660,cluster_660,0.9070776459278923,hill smk rope sausage 4/42oz
97496780,660,cluster_660,1.0,red rose smk sausage(8-2lb)polks)
97481780,660,cluster_660,0.9808637082267525,magnolia smkd sausage(8-1.25lb)polks
97482780,660,cluster_660,1.0,miss sausage red link mild(12-2lb)polks
13005ASW,690,cluster_690,1.0,bf head whl w/ tongue-z ibb
13005432,690,cluster_690,1.0,bf head whl w/ tongue-z row
13005412,690,cluster_690,1.0,bf head whl w/ tongue-z uib 2pc
17845038,720,cluster_720,0.8460726871227993,chk br tender jum mta 4/10# cvp.
17845005,720,cluster_720,1.0,chk br tender jum pil 2/10#
17845016,720,cluster_720,1.0,chk br tender-z jum grg 4/10#
17843445,720,cluster_720,1.0,chk br tender reg .fmc-vp-10#
17844019,720,cluster_720,1.0,chk br tender jum pil-hal 4/10#
13081162,750,cluster_750,1.0,"chuck roll n/off, iowa premium (cangus)"
13081164,750,cluster_750,1.0,"chuck roll n/off, iowa premium (ch)"
13081160,750,cluster_750,1.0,"chuck roll n/off, iowa premium (nr)"
10443FL,780,cluster_780,0.9052218680618953,bf tong-z #1 blk *__
10448PZ,780,cluster_780,0.9495161844968654,bf tong-z #1 blk afg 5640 30#
104489,780,cluster_780,0.9495161844968654,bf tong-z #1 wht ibp prem1252 17#
1044805,780,cluster_780,1.0,bf tong-z #1 blk cav 30#
10446AM,780,cluster_780,0.928359237592614,bf tong-z #1 wht ame-05630 25#
10082968,810,cluster_810,0.5288197717674574,bf short rib-chu-bi>-z me 2.00-in
1072A3GO,810,cluster_810,0.8291815338278976,bf short rib-chu-bi pr oma
10082494,810,cluster_810,0.8750567689131072,bf short rib-chu-bi pr crk
10082498,810,cluster_810,0.6951377479681761,bf short rib-chu-bi se dmk
1015310,810,cluster_810,0.975981725929104,bf short rib-chu-bi ch wre
230005,840,cluster_840,1.0,pork belly skinless
21860,840,cluster_840,1.0,pork belly skinless - keken
21850,840,cluster_840,1.0,pork belly skinless japanese style
22215505,870,cluster_870,1.0,chicken cordon bleu 24/6oz
SP1611,870,cluster_870,1.0,chicken cordon bleu 4 oz 9#
22134360,870,cluster_870,1.0,chicken cordon bleu-36/4oz bulk pk
78301699,900,cluster_900,1.0,"pollock, fillets 2-4oz, 4x10 (40#)"
78303479,900,cluster_900,0.8212688423036825,"pollock, fillets 2-4oz, 4x10 mercado del"
78313479,900,cluster_900,0.8417678632819664,"pollock, fillets 4-6oz, 4x10 mercado del"
78909989,900,cluster_900,1.0,"pollock, fillets 3-5oz, (20#)"
78319989,900,cluster_900,1.0,"pollock, fillets 4-6oz, 4x10 (40#)"
74514360,930,cluster_930,0.8215426972769415,"shrimp, cpto 16-20, panamei (10/1#)"
74544360,930,cluster_930,1.0,"shrimp, cpto 41-50 panamei (10/1#)"
74554360,930,cluster_930,1.0,"shrimp, cpto 41-50 panamei (5/2#)"
74634369,930,cluster_930,1.0,"shrimp, cpto 71-90 panamei (10/1#)"
74534360,930,cluster_930,1.0,"shrimp, cpto 71-90 panamei (5/2#)"
74112009,960,cluster_960,1.0,"shrimp, ckd t/off 21-25ct, (5/2#)"
74129989,960,cluster_960,1.0,"shrimp, ckd t/off 26-30ct, (5/2#)"
74121269,960,cluster_960,0.9671359995071832,"shrimp, ckd t/off 26-30ct, censea (5/2#)"
74139989,960,cluster_960,1.0,"shrimp, ckd t/off 31-40ct, (5/2#)"
74131269,960,cluster_960,0.9293157672546224,"shrimp, ckd t/off 31-40ct, censea (5/2#)"
12214,990,cluster_990,1.0,lamb leg-bnl brt fmc 4/9# ivp 36#
12213,990,cluster_990,1.0,lamb leg-bnl brt fmc-9# ivp
12205,990,cluster_990,1.0,lamb leg-bnl brt frf 2/6#
13921000,1020,cluster_1020,1.0,sausage brat om fc 5-1 6#-z
13968410,1020,cluster_1020,1.0,sausage com-z brat+da-fc 6-1 2/5#
13917172,1020,cluster_1020,1.0,sausage jhsvl brat fc 2/5#-z
1786498,1050,cluster_1050,1.0,chk thigh meat._combo csf
178626,1050,cluster_1050,1.0,chk thigh meat._combo har
178646,1050,cluster_1050,1.0,chk thigh meat._combo se
41102430,1080,cluster_1080,0.9852252043937985,ham bone in skin-off
41109980,1080,cluster_1080,0.9852252043937985,ham boneless skin-on
41262080,1080,cluster_1080,1.0,"ham skin-on, 3pc.(boxed) dekalb"
41102080,1080,cluster_1080,1.0,"ham boneless skin-on, dekalb #10501"
41149980,1080,cluster_1080,0.9866882661343014,"ham skin-on, (boxed)"
82164610,1110,cluster_1110,0.9023046038791627,"smoked hocks, pork retail, p. m. #3841"
82074610,1110,cluster_1110,1.0,"smoked neckbone, pork retail p. m. #3855"
82004610,1110,cluster_1110,1.0,"smoked riblet, pork retail, p. m. #3856"
82014610,1110,cluster_1110,1.0,"smoked tails, pork retail, p. m. #3857"
27210120,1140,cluster_1140,1.0,"chicken diced leg meat 1/2x1/2"" raw"
27210141,1140,cluster_1140,1.0,"chicken diced thigh meat 1/4x1/4"" raw"
27210161,1140,cluster_1140,1.0,chicken diced thigh meat 1x1 raw
44032080,1170,cluster_1170,0.5730881791378902,"loin bone in 18/22 poly, pork dekalb"
44031060,1170,cluster_1170,1.0,"loin bone in 18/22, pork indiana (medium"
44021060,1170,cluster_1170,1.0,"loin bone in 18/22 light, pork indiana"
44031150,1170,cluster_1170,0.7402479964465333,"loin bone in 18/22, pork seaboard medium"
44003460,1170,cluster_1170,0.6578722267987752,"loin bone in 18/22 vp, pork, hatfield"
13039210,1200,cluster_1200,0.8311834430181306,pork shl but bi com 45705 8/9#
13039SF,1200,cluster_1200,0.9307891994937373,pork shl but bi smf-86793 4/2-pc
13034,1200,cluster_1200,0.8104621911521461,pork shl but bnl ibp
13055574,1200,cluster_1200,0.8383047374049629,pork shl but bi com-xlc 45574 6/14#
13039040,1200,cluster_1200,1.0,pork shl but bi sbf-22126 4/2-pc
18119002,1230,cluster_1230,0.9636711380083267,beef burger slider -2oz
18534802,1230,cluster_1230,1.0,beef ground patties sliders 2oz fresh
18500502,1230,cluster_1230,1.0,beef slider burgers 2oz
190030,1230,cluster_1230,1.0,"beef slider patties, jb, 2oz-10#"
190098,1230,cluster_1230,0.9936559075420461,"beef slider patties-10#, jb, 5oz"
18273000,1260,cluster_1260,0.8630084921082474,beef ground 75/25
18278000,1260,cluster_1260,1.0,beef ground 78/22 fresh
18200008,1260,cluster_1260,0.9214418915671402,beef ground 80/20
18250010,1260,cluster_1260,1.0,beef ground 80/20 fresh
18230085,1260,cluster_1260,1.0,beef ground 85/15 fresh
140081,1290,cluster_1290,0.48813599339240626,"tenderloin filet 3-4#, 8oz"
140053,1290,cluster_1290,1.0,"tenderloin filet 3-4#, cc, 5oz"
140043,1290,cluster_1290,1.0,"tenderloin filet/3-4#, cc, 4oz"
140063,1290,cluster_1290,1.0,"tenderloin filet 3-4#, cc, 6oz"
140103,1290,cluster_1290,0.8081468415803378,"tenderloin filet/3-4#, cc, 10oz"
